
J. BLACKWOOD & SON LIMITED           OUTSTANDING ORDER NOT APPEARED IN RF QUEUE TUESDAY, JUNE 25, 2013 14:07
----------------------------------------------------------------------------------------------------------------------------------
ORDER               |RECEIVED|PRODUCT             |STOCKID |LOCATION            |ORDERED   |UO| POSSIBLE REASONS
----------------------------------------------------------------------------------------------------------------------------------
306072905100        |07/06/13|04352505            |        |                    |         2|EA|
306203716400        |20/06/13|04352505            |        |                    |         2|EA|
306193620000        |24/06/13|04395300            |        |                    |         1|EA|
306193620000        |24/06/13|06834102            |        |                    |         1|EA|
306243871700        |24/06/13|00471804            |        |                    |         3|EA|
306243853904        |25/06/13|00478388            |        |                    |         4|EA|Stock A4723060 is blocked for putaway or replenishment
306243882300        |25/06/13|06249315            |        |                    |         4|EA|Stock is not found
306253907100        |25/06/13|00052564            |        |                    |        10|EA|
306253907100        |25/06/13|03718864            |        |                    |         2|PR|Stock A4723617 is allocated
306253907500        |25/06/13|00056627            |        |                    |         1|EA|
306253907500        |25/06/13|03311352            |        |                    |        72|EA|Stock A4724233 is blocked for putaway or replenishment
306253913700        |25/06/13|01831792            |        |                    |         1|EA|Stock A4723506 is blocked for putaway or replenishment
306253914500        |25/06/13|06840400            |        |                    |         1|EA|
306253915000        |25/06/13|04037358            |        |                    |        19|PR|
306253915300        |25/06/13|04352505            |        |                    |         2|EA|
306253917700        |25/06/13|06671404            |        |                    |         2|EA|
306253917700        |25/06/13|06671608            |        |                    |         1|EA|
306253919600        |25/06/13|07243231            |        |                    |         1|EA|Stock A4659580 is allocated
306253921800        |25/06/13|02333717            |        |                    |         9|EA|
306253922000        |25/06/13|04858675            |        |                    |         1|EA|
306253922000        |25/06/13|04928865            |        |                    |         8|EA|
306253922000        |25/06/13|05097219            |        |                    |        30|EA|
306243876400        |25/06/13|02736266            |        |                    |       300|EA|
306253923300        |25/06/13|02136804            |        |                    |       200|EA|
306253923300        |25/06/13|04122255            |        |                    |         5|EA|
306253924000        |25/06/13|00534327            |        |                    |        13|EA|
306253924000        |25/06/13|00581451            |        |                    |         1|PH|Stock is not found
306253924000        |25/06/13|00701358            |        |                    |         2|EA|
306253924500        |25/06/13|03475317            |        |                    |        12|EA|
306253924600        |25/06/13|04213160            |        |                    |        22|EA|
306253924700        |25/06/13|04332525            |        |                    |         5|PR|
306253924700        |25/06/13|04335823            |        |                    |        10|EA|
306253924700        |25/06/13|04336554            |        |                    |         8|EA|Stock A4723842 is allocated
306253924700        |25/06/13|04336588            |        |                    |         6|EA|
306253925000        |25/06/13|05232942            |        |                    |         3|EA|Stock A4724137 is blocked for putaway or replenishment
