
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT MONDAY, NOVEMBER 11, 2013 16:00     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
RECEIVE              | 03350301             |  1 | A4812790 |     26    | EA | _______ | Putaway   | 11/11 08:41 | SM561430 | 06193770  VEST HIVIS DAY CHVV0005 YELLOW M 102    
RECEIVE              | 07012305             |  1 | A4813283 |      6    | EA | _______ | Putaway   | 11/11 13:44 | SM563779 | 03479278  CUPLA ROTARY PLUG NITTO RL-20PM 1/4"MALE
RECEIVE              | 07014005             |  1 | A4813345 |      1    | EA | _______ | Putaway   | 11/11 14:49 | SM564087 | 06627607  TAP CARBON HAND BSPF 1/8"-28 INTER.     
RECEIVE              | 07014301             |  1 | A4812668 |      1    | EA | _______ | Putaway   | 11/11 07:26 | SM563295 | 06568203  TAP HSGT HAND INTER  UNC 3/8"           
RECEIVE              | 07021202             |  1 | A4812772 |     10    | EA | _______ | Putaway   | 11/11 08:35 | SM563782 | 03548307  TEE BRASS THREE WAY BARB P14 3/4"  TUBE 
RECEIVE              | 07022805             |  1 | A4813354 |      1    | EA | _______ | Putaway   | 11/11 14:52 | SM564087 | 06619505  TAP CARB HAND INTER FINE/COND 16X1.5MM  
RECEIVE              | 07023005             |  1 | A4813369 |      2    | EA | _______ | Putaway   | 11/11 15:31 | SM563167 | 09595011  WRENCH TAP RATCHET 1/4"-1/2" SRW-2      
RECEIVE              | 07032301             |  1 | A4812721 |      6    | EA | _______ | Putaway   | 11/11 08:01 | SM563443 | 00147934  ADAPTOR S/TAP BRS 3/4TAP 1"BSP NL055B   
RECEIVE              | 07032902             |  1 | A4812816 |      3    | EA | _______ | Putaway   | 11/11 09:04 | SM563193 | 04125564  ELBOW TAPER SWIVEL ASCO 8MM T X 1/4" BSP
RECEIVE              | 07034001             |  1 | A4813118 |     20    | EA | _______ | Putaway   | 11/11 11:29 | SM562279 | 05947113  VALVE BALL MINI BRS N/P SCD M&F 1/4" 8MM
RECEIVE              | 07041901             |  1 | A4813348 |      1    | EA | _______ | Putaway   | 11/11 14:49 | SM564087 | 06836304  TAP SET CARBON HAND UNF 1/4"            
RECEIVE              | 07041905             |  1 | A4813349 |      1    | EA | _______ | Putaway   | 11/11 14:49 | SM564087 | 06836702  TAP SET CARBON HAND UNF 1/2"            
RECEIVE              | 07054501             |  1 | A4813186 |    100    | EA | _______ | Putaway   | 11/11 12:58 | SM563500 | 04473455  SCREW SKT CAP HD SS304 METRIC 5X30MM    
RECEIVE              | 07112802             |  1 | A4813230 |      6    | EA | _______ | Putaway   | 11/11 13:16 | SM561853 | 04249919  ADHESIVE MULTIPURPOSE SCOTCH 4475 150ML 
RECEIVE              | 07153901             |  1 | A4812719 |   1000    | EA | _______ | Putaway   | 11/11 07:58 | SM563448 | 04861735  RIVET ALUM/STL WHT 73AS4-4 (1000)       
RECEIVE              | 07154801             |  1 | A4812798 |      5    | EA | _______ | Putaway   | 11/11 08:53 | SM563506 | 00641003  COMPOUND LAPPING OIL/FILLED 500GM H500OF
RECEIVE              | 07196202             |  1 | A4812725 |     12    | PR | _______ | Putaway   | 11/11 08:04 | SM563329 | 06772569  GLOVES DYNEEMA PU PALM EX CUFF 11-628 8 
RECEIVE              | 07555201             |  1 | A4813328 |      1    | EA | _______ | Putaway   | 11/11 14:23 | SM563499 | 01142509  WASHER FLAT/BDY MASTER KIT 1/8-1" CA2240
RECEIVE              | 07555801             |  1 | A4812722 |      2    | EA | _______ | Putaway   | 11/11 08:01 | SM563443 | 00147934  ADAPTOR S/TAP BRS 3/4TAP 1"BSP NL055B   
RECEIVE              | 07562801             |  1 | A4812724 |      6    | EA | _______ | Putaway   | 11/11 08:04 | SM563329 | 00540421  BOTTLE BETTER CAMELBAK 53000 BLUE 750ML 
RECEIVE              | 07625802             |  1 | A4812801 |     18    | EA | _______ | Putaway   | 11/11 08:55 | SM562747 | 00564587  PASTE WATER FINDING KOLOR KUT 85GRAM    
RECEIVE              | 07702102             |  1 | A4812841 |      5    | EA | _______ | Putaway   | 11/11 09:34 | SM563236 | 04858658  WRENCH ADJUSTABLE JBS MASTERS 250MM     
RECEIVE              | 08015706             |  1 | A4813357 |    200    | EA | _______ | Putaway   | 11/11 15:25 | SM563954 | 02897566  TERMINAL RING  4MM HOLE YELLOW RT5.5-4  
RECEIVE              | 08021006             |  1 | A4812986 |      3    | EA | _______ | Putaway   | 11/11 10:00 | SM563716 | 08536107  BUSH TAPER LOCK NO 1210 X 30MM          
RECEIVE              | 08031501             |  1 | A4812869 |     50    | EA | _______ | Putaway   | 11/11 09:39 | SM563640 | 01305318  LUG CABLE COPPER 25MM SQ CABLE 10MM STUD
RECEIVE              | 08033103             |  1 | A4812987 |      3    | EA | _______ | Putaway   | 11/11 10:00 | SM563716 | 08547109  BUSH TAPER LOCK NO 2517 X 28MM          
RECEIVE              | 08061501             |  1 | A4813109 |      1    | EA | _______ | Putaway   | 11/11 11:29 | SM562279 | 03092400  BUSH MALLEABLE GALV REDUCING 10 X  8 NB 
RECEIVE              | 08090601             |  1 | A4812765 |     96    | EA | _______ | Putaway   | 11/11 08:25 | SM562962 | 04544066  BATTERY LANTERN 6V SPR/TERM MALLORY M908
RECEIVE              | 08131601             |  1 | A4812858 |   2000    | EA | _______ | Putaway   | 11/11 09:38 | SM563525 | 04799022  EARPLUGS SUPERFIT LG CL4 312-1255 (200) 
RECEIVE              | 08135302             |  1 | A4812652 |     17    | EA | _______ | Putaway   | 11/11 07:04 |          | 00019329  SQUEEGEE ALUM BACK #03418 18"/450MM     
RECEIVE              | 08165801             |  1 | A4813319 |    200    | EA | _______ | Putaway   | 11/11 14:04 | SM564100 | 01529302  PIN SPLIT COTTER ZP 2.5X45MM            
RECEIVE              | 08185201             |  1 | A4812575 |     51    | EA | _______ | Putaway   | 08/11 14:25 | SM562732 | 01290613  BRUSH HAND WIRE STEEL (RED HANDLE)      
RECEIVE              | 08192401             |  1 | A4813228 |      6    | EA | _______ | Putaway   | 11/11 13:15 | SM563712 | 07750902  SWEATBAND HELMET SPEEDGLAS 9100 PK 3    
RECEIVE              | 08206103             |  1 | A4812720 |      2    | EA | _______ | Putaway   | 11/11 07:58 | SM563448 | 06680411  BELT CLOTH METALITE 100 X 914 R295 P80X 
RECEIVE              | 08225803             |  1 | A4813282 |      2    | EA | _______ | Putaway   | 11/11 13:44 | SM563779 | 01002905  SOCKET ONE TOUCH NITTO 200-30SF 3/8" FEM
RECEIVE              | 08230501             |  1 | A4812947 |     56    | PR | _______ | Putaway   | 11/11 09:57 | SM554412 | 06162473  GLOVES NITRILE PREDATOR+ P/C S/C W9760XL
RECEIVE              | 08511602             |  1 | A4812863 |      4    | EA | _______ | Putaway   | 11/11 09:38 | SM563525 | 05225433  HARD HAT VENTED 620V BLUE               
RECEIVE              | 08514005             |  1 | A4813363 |      1    | EA | _______ | Putaway   | 11/11 15:31 | SM563167 | 05502105  TAP CARBON HAND BOTTOM ONLY NPT 3/8"    
RECEIVE              | 08532403             |  1 | A4813130 |     17    | EA | _______ | Putaway   | 11/11 11:29 | SM562588 | 03099704  CAP MALLEABLE GALVANISED  20 NB         
RECEIVE              | 08542301             |  1 | A4813131 |      3    | EA | _______ | Putaway   | 11/11 11:29 | SM562588 | 03099801  CAP MALLEABLE GALVANISED  25 NB         
RECEIVE              | 08542802             |  1 | A4813106 |      2    | EA | _______ | Putaway   | 11/11 11:27 | SM561836 | 05799811  PLUG MAL GALV SQUARE HEAD HOLLOW  15 NB 
RECEIVE              | 08544701             |  1 | A4812810 |      1    | EA | _______ | Putaway   | 11/11 09:02 | SM563569 | 03359661  WRENCH FOLD-A-KEY SET (44U) 72 METRIC   
RECEIVE              | 08545804             |  1 | A4812973 |     90    | EA | _______ | Putaway   | 11/11 09:57 | SM555340 | 07766372  DRILL HIGH SPEED STEEL JBS 5.50MM       
RECEIVE              | 08583901             |  1 | A4812756 |      1    | EA | _______ | Putaway   | 11/11 08:18 |          | 00887702  GAUGE DBB BRS 0/1600KPA NON OXY 100MM   
RECEIVE              | 08711606             |  1 | A4813269 |      8    | EA | _______ | Putaway   | 11/11 13:42 | SM563735 | 04669658  BLADE HACKSAW 300MM FEIN SAW 63503063007
RECEIVE              | 08722601             |  1 | A4812811 |     10    | EA | _______ | Putaway   | 11/11 09:02 | SM563569 | 05340707  FAN GRINDER F 6030/6 A80 60 X 30        
