
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GS2A  | 86A  | A4813268 | 312045002201   |      6.000 | BX  | 86190101   |           |   /  /   |          | CONCURRE | 095693       | SUBAKETTE PTY LTD                   | 
GS2B  | 84B  | A4782810 | 312045005201   |     10.000 | EA  | 84230101   |           |   /  /   |          | CONCURRE | 007078       | GE ENERGY SERVICES                  | 
GS1C  | 79C  | A4815762 | 310282667104   |     17.000 | EA  | 79210601   |           |   /  /   |          | CONCURRE | BT5536       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 03   | A4765406 | 312024902301   |      2.000 | RL  | 52010201   |           | 03/12/13 | 20:03:14 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 01   | A4826077 | 310041424803   |      1.000 | EA  | 33650101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4015       | BLACKWOODS MACKAY QLD               | 
GS3   | 92   | A4824560 | 310312942908   |      5.000 | EA  | 92040301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4018       | J. BLACKWOOD & SON LIMITED          | 
15    | 15   | A4825464 | 311013100008   |      4.000 | EA  | 15113401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4009       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 01   | A4826031 | 311063301403   |      1.000 | EA  | 33650101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4001       | BLACKWOODS MELBOURNE VIC            | 
WHSE  | 02   | A4740666 | 311264489105   |      2.000 | EA  | 23110401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
