J. BLACKWOOD & SON LIMITED           RE-ENTRY KEY/ PAGE ID ORDERS REPORT  - SORTED BY PICKING ORDER NUMBER.     TUESDAY, JUNE 25, 2013 14:06   PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ORDER       |   ZONE   | CUSTOMER     | CUSTOMER                            |      LABEL     | RE-ENTRY |      STATUS    | PRODUCT    | ALLOCATED  | PICK | ALLOCATED |  ORDERED  |  AVAILBLE 
 NUMBER      |          | NUMBER       | NAME                                |  DATE    TIME  |   KEY    |                |            | LOCATION   | LINE | STOCK ID  |  QUANTITY |  QUANTITY
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
030324       | 99    | 160030       |                                     | 25/06/13 07:30 | 989540   | Nothing Picked | 00887383   | VEND.RETN  | VRET | A4724317  |         1 |         0
030338       | 04    | 181524       |                                     | 25/06/13 07:12 | 989523   | Nothing Picked | 00485520   | VEND.RETN  | VRET | A4724311  |         4 |         0
030349       | 10    | 171186       |                                     | 25/06/13 05:19 | 989454   | Nothing Picked | B0914-8449 | VEND.RETN  | VRET | A4724281  |         1 |         0
030350       | 04    | 215068       |                                     | 25/06/13 07:16 | 989527   | Nothing Picked | 09068904   | VEND.RETN  | VRET | A4724313  |         2 |         0
030351       | 16    | 130036       |                                     | 25/06/13 07:05 | 989516   | Nothing Picked | 02211758   | VEND.RETN  | VRET | A4724308  |         3 |         0
030354       | 99    | 210360       |                                     | 25/06/13 06:50 | 989477   | Nothing Picked | 05034868   | VEND.RETN  | VRET | A4724302  |         2 |         0
030360       | 01    | 173502       | MR FILTER PTY LTD                   | 25/06/13 12:03 | 990934   | Nothing Picked | 02538226   | VEND.RETN  | VRET | A4724896  |        18 |         0
030362       | 04    | 181523       |                                     | 25/06/13 06:52 | 989479   | Nothing Picked | 04464406   | VEND.RETN  | VRET | A4724303  |         1 |         0
030363       | 10    | 136067       |                                     | 25/06/13 07:58 | 989575   | Nothing Picked | 00967036   | VEND.RETN  | VRET | A4724319  |         2 |         0
030369       | 04    | 100530       | J BLACKWOOD & SON -WHYALLA          | 25/06/13 08:07 | 989606   | Nothing Picked | 05423611   | VEND.RETN  | VRET | A4724322  |         6 |         0
030371       | 01    | 145048       |                                     | 25/06/13 07:55 | 989574   | Nothing Picked | 01494291   | VEND.RETN  | VRET | A4724318  |        12 |         0
030381       | 99    | 172921       | ALAN HESS                           | 25/06/13 11:16 | 990754   | Nothing Picked | 05976016   | VEND.RETN  | VRET | A4724834  |         1 |         0
303156613301 | 10    | 071134       | HP INDUSTRIES                       | 25/06/13 12:54 | 991223   | Nothing Picked | 01893902   | PICKRECV   | RECV | A4724948  |       100 |         0
303287458902 | 13    | 004919       | ALCOA AUST. -                       | 25/06/13 12:18 | 990989   | Nothing Picked | B0383-2881 | C5         | CONS | A4722512  |       600 |         0
304057791802 | 09    | 061495       | ROADS & MARITIME SERVICES - SYDNEY  | 25/06/13 13:05 |      0   | Nothing Picked | 00638860   | BOOK.ERROR | NPIC | A4644554  |       265 |         0
304178542901 | 10    | 880949       | CAMPBELLTOWN COLLEGE OF TAFE        | 25/06/13 10:00 | 990267   | Nothing Picked | 03970506   | PICKRECV   | RECV | A4724694  |         1 |         0
