
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT TUESDAY, JUNE 25, 2013 11:24     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
RECEIVE              | 03020501             |  1 | A4724128 |    432    | EA | U       u | Putaway   | 24/06 12:46 | SM534110 | 00397555  BRUSH PAINT EBONY 12MM                  
RECEIVE              | 03060301             |  1 | A4724321 |      1    | RE | U       u | Putaway   | 25/06 08:04 | SM522226 | 00729708  CORD SHOCK PLAITED 6MM X 100M REEL BLK  
RECEIVE              | 03060301             |  1 | A4724237 |      3    | MR | U       u | Putaway   | 24/06 16:03 | SM532598 | 01226404  DUCTING EXIMO POLYFLEX HEAVY 102MM      
RECEIVE              | 03070201             |  1 | A4724147 |    350    | EA | U       u | Putaway   | 24/06 13:04 | SM531628 | 04159902  CLAMP HOSE JBS S/S J4040 16-27MM NO.0   
RECEIVE              | 03100201             |  1 | A4724295 |      4    | PH | U       u | Putaway   | 25/06 05:29 |          | 01068389  FILTER 3M CART 6051B A1 OV 2/PK         
RECEIVE              | 03130101             |  1 | A4723959 |    350    | EA | U       u | Putaway   | 24/06 10:36 | SM533783 | 07813360  FLAP DISC ZIRCONIA JBS 125X22 60 GRIT   
RECEIVE              | 03150201             |  1 | A4723756 |     87    | EA | U       u | Putaway   | 24/06 09:50 | SM531388 | 07187900  HANDLE FILE WOODEN 100MM                
RECEIVE              | 03160301             |  1 | A4723933 |     96    | EA | U       u | Putaway   | 24/06 10:34 | SM533845 | 06156455  HAMMER CLAW F/GLAS HDL SOFTGRIP JBS 575G
RECEIVE              | 03170301             |  1 | A4723938 |    142    | EA | U       u | Putaway   | 24/06 10:34 | SM533845 | 06575726  KNIFE AUTO RETRACTABLE COMFORT GRIP JBS 
RECEIVE              | 03200101             |  1 | A4722853 |     50    | EA | U       u | Putaway   | 22/06 06:58 | SM534303 | 00715007  PAD HAND S/BRITE NO.449 230X150MM WHITE 
RECEIVE              | 03250501             |  1 | A4721618 |    144    | PR | U       u | Putaway   | 20/06 10:07 | SM533695 | 06790164  GLOVES LATEX FLEX TUFF KEVLAR W9687 L   
RECEIVE              | 03260501             |  1 | A4724419 |      2    | EA | U       u | Putaway   | 25/06 09:20 | SM532789 | 05230839  LEAD EXT 15A EXT H/D 30M RED 10A PLUG   
RECEIVE              | 03280101             |  1 | A4724130 |     50    | RL | U       u | Putaway   | 24/06 12:46 | SM534110 | 01207517  TAPE BARRIER PREMIUM BLUE/WHITE 75MMX50M
RECEIVE              | 03300401             |  1 | A4724277 |     48    | EA | U       u | Putaway   | 24/06 16:53 | SM533162 | 02835756  POWERBOARD 4WAY C/W O/LOAD PROTECTION   
RECEIVE              | 03300401             |  1 | A4724575 |     12    | EA | U       u | Putaway   | 25/06 09:44 | SM531010 | 02835756  POWERBOARD 4WAY C/W O/LOAD PROTECTION   
RECEIVE              | 05670106             |  1 | A4724681 |      4    | EA | U       u | Putaway   | 25/06 09:59 | SM531263 | 04674922  EARMUFF CAP ATTACHABLE E12 25MM EC1225  
RECEIVE              | 07021304             |  1 | A4719123 |      1    | EA | U       u | Putaway   | 17/06 11:26 | SM531673 | 05979408  TAP HSGT SPIRAL POINT (GUN) BSW 5/16"   
RECEIVE              | 07023605             |  1 | A4724213 |      3    | EA | U       u | Putaway   | 24/06 14:59 | SM531920 | 00372674  BACK CAP SHORT BINZEL 57Y04 1PK         
RECEIVE              | 07032405             |  1 | A4724552 |    218    | PR | U       u | Putaway   | 25/06 09:31 | SM534054 | 04039962  GLOVES HYLITE NITRILE P/C K/W 47-400-9  
RECEIVE              | 07044202             |  1 | A4724678 |     10    | EA | U       u | Putaway   | 25/06 09:59 | SM531263 | 03129367  CLAMP HOSE S/S TRIDON MAH005P  11-18MM  
RECEIVE              | 07044802             |  1 | A4724348 |      3    | EA | U       u | Putaway   | 25/06 08:12 | SM532634 | 01219638  HOOK S S/S304 8MM                       
RECEIVE              | 07051402             |  1 | A4724331 |     48    | EA | U       u | Putaway   | 25/06 08:07 | SM532986 | 02869052  SOCKET HI-COUP STL NITTO 20SM 1/4"BSPTM 
RECEIVE              | 07062001             |  1 | A4724361 |     39    | EA | U       u | Putaway   | 25/06 08:24 | SM532307 | 00887468  POWDER FOOT PEDOZ HAMILTON 50GM         
RECEIVE              | 07062802             |  1 | A4724672 |      1    | PR | U       u | Putaway   | 25/06 09:59 | SM531263 | 00583397  BOOTS SAFETY TREDLITE HIGHBANK BLK 9    
RECEIVE              | 07070601             |  1 | A4724692 |     24    | EA | U       u | Putaway   | 25/06 10:00 | SM533488 | 04512701  WHEEL TRACK C/I PLN TYPE ANCHOR 0.5T    
RECEIVE              | 07074902             |  1 | A4724217 |      2    | EA | U       u | Putaway   | 24/06 15:27 | SM533847 | 01238257  GLOBE XENON TO SUIT MITYLITE 1904       
RECEIVE              | 07083601             |  1 | A4721569 |      4    | EA | U       u | Putaway   | 20/06 10:02 | SM533564 | 01153797  STRAINER Y TYPE SS316 800 SCREWED 50MM  
RECEIVE              | 07094001             |  1 | A4724411 |     18    | EA | U       u | Putaway   | 25/06 09:18 | SM534141 | 03778805  DISPENSER PACKAGING TAPE HAND 3M H122   
RECEIVE              | 07144601             |  1 | A4724571 |      5    | EA | U       u | Putaway   | 25/06 09:43 | SM532593 | 00640305  COMPOUND GREASE/OIL MIXED 500G F V500FOM
RECEIVE              | 07545001             |  1 | A4722208 |    500    | EA | U       u | Putaway   | 21/06 09:20 | SM533470 | 00423603  SHEET FRECUT C WT. 230 X 280MM 100 GRIT 
RECEIVE              | 07593102             |  1 | A4724001 |      1    | EA | U       u | Putaway   | 24/06 10:44 |          | 04224755  SEALANT ADHESIVE RTV 3145 90ML GREY     
RECEIVE              | 07604002             |  1 | A4724671 |      1    | PR | U       u | Putaway   | 25/06 09:59 | SM531263 | 00582377  BOOTS SAFETY TREDLITE CLYDE BLK 9       
RECEIVE              | 07676001             |  1 | A4724412 |     14    | EA | U       u | Putaway   | 25/06 09:18 | SM534141 | 00707507  WHEEL S/BRITE LIGHT DEBUR 150X25X25 FINE
RECEIVE              | 07682801             |  1 | A4724854 |      2    | EA | U       u | Putaway   | 25/06 11:18 | SM532585 | 00642905  BUFF CALICO LOOSE LEAF B 100 FOLD X200MM
RECEIVE              | 07684102             |  1 | A4722740 |      9    | EA | U       u | Putaway   | 22/06 06:13 | SM533471 | 00547505  POINT MOUNTED NO.  B44  38A90 (209457)  
